;Hommes;Femmes;Ensemble;;;
Moins de 5 ans;19748;18403;38151;;;
5 à 9 ans;19145;17923;37068;;;
10 à 14 ans;19026;18409;37435;;;
15 à 19 ans;21329;20854;42183;;;
20 à 24 ans;23064;23802;46866;;;
25 à 29 ans;20765;21101;41866;;;
30 à 34 ans;18899;19152;38051;;;
35 à 39 ans;18725;19396;38121;;;
40 à 44 ans;20043;20892;40935;;;
45 à 49 ans;19951;21356;41307;;;
50 à 54 ans;20222;21843;42065;;;
55 à 59 ans;19209;20972;40181;;;
60 à 64 ans;17977;19848;37825;;;
65 à 69 ans;12139;14467;26606;;;
70 à 74 ans;9417;12078;21495;;;
75 à 79 ans;8028;12465;20493;;;
80 à 84 ans;6126;10795;16922;;;
85 à 89 ans;3426;7261;10687;;;
90 à 94 ans;1064;3052;4116;;;
95 à 99 ans;153;779;932;;;
100 ans ou plus;13;168;181;;;
Ensemble;298469;325017;623486;;;