HAU GIANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V?nh Vi?n,0,0,0,0,29,284,5387,3128,852,756,348,155,87,52,0,0,0,0,856,3597,4897,2568,987,98,658,0,0,3564,3982,5789,0
Thu?n H?ng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4568,0
Long Bình,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?ông Ph??c,0,0,0,0,0,0,0,0,0,0,20,0,0,215,116,198,250,340,2000,1000,2000,4000,2500,1060,1027,1200,500,700,0,3000,0
TT.Ngã 6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,100,150,250,300,0,0,300,200,250,500,0,1000,0
?ông Th?nh,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,417,0,0,635,250,250,320,0,0,480,250,300,670,0,147200,0
Tân Hòa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,260,300,500,600,400,140,5000,7000,500,100,3000,12000,0
Tr.Long A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,10000,12000,7000,5000,750,350,3000,5000,0,0,0,5000,0
Tân Phú Th?nh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,60,120,500,100,120,150,1500,2000,0,80,15,5000,0
Nh?n Ngh?a A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,3500,0,280,120,4000,8000,0,250,120,15000,0
Tân Long,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ph??ng Bình ,0,0,0,287,0,0,0,0,0,0,0,0,0,548,0,877,1000,1680,0,0,0,0,0,0,0,0,0,0,0,0,0
Bi?nh Tha?nh,0,0,0,0,0,0,0,2,5,27,62,128,83,47,29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hòa An,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V.T.Tây,0,0,0,0,0,0,0,0,0,1200,700,600,0,0,0,400,600,3000,2500,1000,600,200,100,2500,2000,1500,1200,300,3800,15,0
V? Trung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,250,4000,3000,1500,1200,500,150,100,70,400,350,250,3500,12,0
P.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,150,185,5500,180,260,1800,9600,0,0,0,0,0,0
?a?i Tha?nh,10,0,50,0,0,0,0,0,60,0,0,0,0,25,400,700,0,0,0,0,0,0,150,150,0,0,10,10,0,20,0
Hi?p L?i,900,0,90,0,0,500,0,15,0,3500,0,0,0,0,2200,110,100,0,0,3000,4800,0,80,2800,0,0,250,380,0,32000,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOC TRANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Th?nh Tr?,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,32,18,0,0,0,0,34,71,98,100,0,0,48,108,174,
Lâm Ki?t,0,8,15,0,0,0,22,0,12,8,13,0,1500,0,300,6,50,0,0,0,0,200,42,20,16,0,0,2000,1000,500,
V?nh L?i,0,200,32,18,0,0,14,170,80,320,20,0,10,0,8,6,120,0,0,0,0,8,12,1200,1000,0,0,12,420,600,
V?nh Bình,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,
V?nh Biên,0,0,0,0,0,0,0,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,
Tr??ng Khánh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,26,0,0,0,0,0,0,0,0,0,0,0,59,0,
Th? Tr?n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,45,0,
L?ch H?i Th??ng,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,2,
Th?nh Th?i An,184,0,1862,612,0,0,3862,420,148,186,646,0,0,124,0,48,126,0,0,0,0,0,36,116,312,0,0,316,0,36,
K? Thành ,180,150,90,60,50,284,50,30,65,80,230,80,0,40,60,0,50,90,0,0,0,0,40,250,0,0,190,0,0,450,
Th? Tr?n,60,25,40,60,65,70,90,140,100,75,150,60,100,50,75,0,100,120,0,0,0,0,350,550,120,210,70,130,110,1500,
??i H?i,40,45,0,0,90,80,110,95,135,180,0,150,0,210,240,0,0,280,0,0,0,0,345,500,0,0,0,180,0,990,
Ph??ng 10,0,0,0,0,0,0,0,123,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ph??ng 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Thu?n H?ng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,
Long H?ng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,
Thu?n Hoà,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,200,0,0,0,0,6500,
H? ??c Ki?n,0,0,4,4,0,0,0,0,0,5,20,0,0,5,7,0,0,0,0,0,0,200,0,25,0,0,0,0,300,2000,
??i Tâm,372,45,0,134,108,193,45,38,5000,13,32,0,0,0,18,254,25,46,0,0,0,0,446,358,19,279,347,452,469,872,
Th?nh Qu?i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,24,0,0,0,0,0,0,0,8,0,6,8,0,16,
